Cbioportal,CellminerCDB
X786_0,786-0
786_0,786-0
A498,A498
A549,A549/ATCC
ACHN,ACHN
BT_549,BT-549
CAKI_1,CAKI-1
CCRF_CEM,CCRF-CEM
COLO205,COLO 205
CSF_268,SF-268
CSF_295,SF-295
CSF_539,SF-539
SF_268,SF-268
SF_295,SF-295
SF_539,SF-539
CSNB_19,SNB-19
CSNB_75,SNB-75
SNB_19,SNB-19
SNB_75,SNB-75
CU251,U251
U251,U251
DU_145,DU-145
EKVX,EKVX
HCC_2998,HCC-2998
HCT_116,HCT-116
HCT_15,HCT-15
HL_60,HL-60(TB)
HOP_62,HOP-62
HOP_92,HOP-92
HS578T,HS 578T
HT29,HT29
IGROV1,IGROV1
KM12,KM12
K_562,K-562
LOXIMVI,LOX IMVI
M14,M14
MALME_3M,MALME-3M
MCF7,MCF7
MDA_MB_231,MDA-MB-231
MDA_MB_435,MDA-MB-435
MDA_N,MDA-N
MOLT_4,MOLT-4
NCI_ADR_RES,NCI/ADR-RES
NCI_H226,NCI-H226
NCI_H23,NCI-H23
NCI_H322M,NCI-H322M
NCI_H460,NCI-H460
NCI_H522,NCI-H522
OVCAR_3,OVCAR-3
OVCAR_4,OVCAR-4
OVCAR_5,OVCAR-5
OVCAR_8,OVCAR-8
PC_3,PC-3
RPMI_8226,RPMI-8226
RXF_393,RXF 393
SK_MEL_2,SK-MEL-2
SK_MEL_28,SK-MEL-28
SK_MEL_5,SK-MEL-5
SK_OV_3,SK-OV-3
SN12C,SN12C
SR,SR
SW_620,SW-620
T47D,T-47D
TK_10,TK-10
UACC_257,UACC-257
UACC_62,UACC-62
UO_31,UO-31
