model,model_dir,cnv_dim,cnv_hlayers_sizes,drug_char_dict,drug_concat_heads,drug_dim,drug_dropout,drug_gat_layers,drug_gcn_layers,drug_hlayers_sizes,drug_kernel_sizes,drug_n_embedding,drug_num_attention_heads,drug_num_filters,drug_residual_connection,drug_seq_length,expr_batchnorm,expr_dim,expr_hlayers_sizes,expr_kernel_size,expr_kernel_size1,expr_kernel_size_rest,expr_kernel_sizes,expr_num_filters,expr_pool_size,hidden_activation,hidden_dropout,l2,learn_rate,mut_dim,mut_hlayers_sizes,predictor_hlayers_sizes,mean_squared_error,pearson,r2_score,root_mean_squared_error,spearman
expr (DGI) + drugs (ECFP4),../results/2021-07-06_12-19-03,,,,,1024.0,,,,[512],,,,,,,,976.0,"[1024, 512, 256]",,,,,,,prelu,0.1,0.1,0.0001,,,"[512, 256]",1974.6979996137625,0.7519083567666107,0.5487365293392712,44.437574186872105,0.6453806223430107
expr (landmark) + drugs (ECFP4),../results/2021-07-06_12-02-29,,,,,1024.0,,,,"[1024, 512]",,,,,,,,978.0,"[512, 256, 128]",,,,,,,relu,0.1,1e-05,0.0001,,,"[1024, 1024, 1024]",2073.652668355751,0.7502023979065348,0.5261231336385986,45.53737660818584,0.6591248675080641
expr (COSMIC) + drugs (ECFP4),../results/2021-07-06_12-12-35,,,,,1024.0,,,,"[1024, 512, 256]",,,,,,,,713.0,[64],,,,,,,prelu,0.1,0.001,0.0001,,,[2048],1965.611552225524,0.7435227931610752,0.5508129895297381,44.33521796749761,0.6422250447384945
expr (DGI) + drugs (LayeredFP),../results/2021-07-13_20-03-54,,,,,1024.0,,,,[1024],,,,,,,,976,[64],,,,,,,leakyrelu,0.0,0.0001,0.001,,,"[2048, 1024, 512]",2050.582188644382,0.7310665881462868,0.5313952637295779,45.28335443233399,0.6189413272318081
"expr (DGI) + mut (gene-level, DGI) + cnv (DGI) + drugs (ECFP4)",../results/2021-07-20_12-00-33,952.0,"[32, 16]",,,1024.0,,,,[512],,,,,,,,976,"[128, 64]",,,,,,,prelu,0.0,0.0001,0.001,636.0,[256],[256],2204.2201313656456,0.7073069607796474,0.4962854944022516,46.94912279655122,0.5972229056442699
expr (DGI) + mut (pathway-level) + cnv (DGI) + drugs (ECFP4),../results/2021-09-09_15-05-24,952.0,"[256, 128, 64]",,,1024.0,,,,[512],,,,,,,,976,[64],,,,,,,prelu,0.1,0.0,0.0001,1510.0,[256],[1024],2048.586308986015,0.7312241567101094,0.5318513676917189,45.26131139268962,0.6320147697658189
expr (DGI) + drugs (MTE),../results/2021-07-13_15-43-50,,,,,512.0,,,,[256],,,,,,,,976,[16],,,,,,,leakyrelu,0.0,0.0,0.0001,,,"[512, 512, 512]",2095.5682655708583,0.726764945136983,0.5211149205028045,45.77737722468226,0.6124175826623361
expr (DGI) + drugs (TextCNN),../results/2021-07-14_22-20-12,,,"{'#': 1, '(': 2, ')': 3, '+': 4, '-': 5, '/': 6, '1': 7, '2': 8, '3': 9, '4': 10, '5': 11, '6': 12, '7': 13, '8': 14, '=': 15, 'C': 16, 'F': 17, 'H': 18, 'I': 19, 'N': 20, 'O': 21, 'P': 22, 'S': 23, '[': 24, '\\': 25, ']': 26, '_': 27, 'c': 28, 'Cl': 29, 'Br': 30, 'n': 31, 'o': 32, 's': 33, 't': 34, '.': 35, 'B': 36, '9': 37, 'A': 38}",,214.0,0.5,,,,"[3, 5, 7]",75.0,,"[32, 32, 32, 32, 64, 64, 64, 64, 128, 128, 128, 128]",,214.0,,976,"[256, 128]",,,,,,,prelu,0.2,0.1,0.001,,,[512],2315.5966161455844,0.6865063515920703,0.4708334308048724,48.12064646433571,0.5800144095526909
expr (NCG) + drugs (ECFP4),../results/2021-07-06_12-21-29,,,,,1024.0,,,,[256],,,,,,,,2362.0,[1024],,,,,,,leakyrelu,0.0,0.001,0.0001,,,"[256, 256, 256]",2083.66571486678,0.7242955218192044,0.5238349244434011,45.64718737082034,0.6067087180716738
expr (DGI + NCG) + drugs (ECFP4),../results/2021-07-06_12-38-01,,,,,1024.0,,,,[512],,,,,,,,3037.0,[256],,,,,,,prelu,0.4,0.0001,0.001,,,[512],2204.9843260872244,0.7068611026379843,0.4961108585022874,46.95726063227309,0.6143883387547991
expr (DGI + landmark) + drugs (ECFP4),../results/2021-07-06_12-37-08,,,,,1024.0,,,,[1024],,,,,,,,1815.0,"[64, 32]",,,,,,,prelu,0.1,0.0,0.01,,,"[256, 256]",2098.8609046710803,0.7243197243965176,0.5203624774718751,45.81332671473531,0.6071326550519719
expr (protein coding) + drugs (ECFP4),../results/2021-07-11_13-02-09,,,,,1024.0,,,,"[512, 256]",,,,,,,,18779,"[256, 128]",,,,,,,leakyrelu,0.2,0.0,0.0001,,,"[1024, 512, 256]",2099.3171135799025,0.7225020114887825,0.5202582233451268,45.81830544203815,0.6130063429205812
"expr (protein coding, clustering order 1D CNN) + drugs (ECFP4)",../results/2021-07-10_14-02-58,,,,,1024.0,,,,[256],,,,,,,True,18779,,,,,"[5, 5]","[64, 64]",5,leakyrelu,0.0,0.0,0.001,,,"[1024, 1024]",2083.161440115207,0.7247822597555424,0.523950162710015,45.64166342406033,0.6093214338378552
"expr (protein coding, chromosome position order 1D CNN) + drugs (ECFP4)",../results/2021-07-10_14-08-47,,,,,1024.0,,,,[128],,,,,,,True,18779,,,,,"[5, 5]","[32, 32]",10,leakyrelu,0.0,0.001,0.0001,,,"[256, 128, 64]",2131.2379748143458,0.7164775524558846,0.5129635794907492,46.16533304130217,0.6025105429746442
"expr (protein coding, chromosome position order 2D CNN) + drugs (ECFP4)",../results/2021-07-12_22-15-05,,,,,1024.0,,,,"[128, 64]",,,,,,,True,"(138, 138, 1)",,"(5, 5)",,,,[32],"(2, 2)",prelu,0.0,0.01,0.001,,,[4096],2310.500256836028,0.6980007939919352,0.471998064987018,48.06766331782758,0.587048712780811
"expr (protein coding, clustering order 2D CNN) + drugs (ECFP4)",../results/2021-07-11_19-59-41,,,,,1024.0,,,,[512],,,,,,,False,"(138, 138, 1)",,"(3, 3)",,,,"[16, 32, 64]","(2, 2)",relu,0.1,0.1,0.0001,,,"[256, 128, 64]",2798.1242854275847,0.6095851326885856,0.3605648678283475,52.89729941525923,0.513638656984201
expr (WGCNA) + drugs (ECFP4),../results/2021-07-08_10-02-23,,,,,1024.0,,,,[256],,,,,,,,136.0,"[64, 32]",,,,,,,prelu,0.5,0.0001,0.001,,,"[1024, 512]",3253.0840061291,0.519249945214976,0.2565962090183633,57.03581336431611,0.4203537652539624
expr (UMAP) + drugs (ECFP4),../results/2021-07-08_09-48-06,,,,,1024.0,,,,[64],,,,,,,,50.0,"[32, 16]",,,,,,,prelu,0.0,0.001,0.001,,,"[1024, 512]",2289.2696710617543,0.7181870747257386,0.4768497374060576,47.84631303519378,0.6028155672166854
expr (DGI) + drugs (GAT),../results/2021-09-10_13-40-49,,,,1.0,96.0,0.0,"[8, 8, 8]",,,,,6.0,,0.0,,,976,"[64, 32, 16]",,,,,,,prelu,0.0,0.0001,0.0001,,,"[1024, 1024, 1024]",2587.1442944031915,0.6569756033696439,0.4087786012743017,50.86397835800097,0.5462920789546832
expr (DGI) + drugs (GCN),../results/2021-07-14_22-20-49,,,,,96.0,0.0,,"[128, 128]",,,,,,1.0,,,976,"[512, 256, 128]",,,,,,,prelu,0.3,0.001,0.001,,,"[2048, 2048]",2201.315098854119,0.7319782759659298,0.4969493604991384,46.9181745047068,0.6280796033132976
Baseline (always predicts the mean of the training set),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376.15966796875,,-5.21983767431955e-05,66.15254974365234,
cell line (one-hot) + drugs (ECFP4),../results/2022-04-26_08-17-30,,,,,1024.0,,,,"[256, 128, 64]",,,,,,,,59,[16],,,,,,,prelu,0.0,0.0001,0.001,,,"[256, 256]",2309.66689647992,0.7071930403860167,0.4721885068098597,48.05899391872369,0.5857095917582654
cell line (one-hot) + drugs (one-hot),../results/2022-04-26_08-17-09,,,,,105.0,,,,[64],,,,,,,,59,"[64, 32]",,,,,,,leakyrelu,0.0,0.0001,0.1,,,"[32, 32]",2910.367030283708,0.580128822644814,0.3349148440727314,53.9478176600658,0.4632403159901397
expr (DGI) + drugs (one-hot),../results/2022-04-26_08-17-39,,,,,105.0,,,,[16],,,,,,,,976,"[1024, 512]",,,,,,,leakyrelu,0.0,0.0001,0.01,,,"[128, 64, 32]",2450.2222738995283,0.666049392953872,0.4400684016359003,49.4997199375868,0.5332709871010194
