model,model_dir,cnv_dim,cnv_hlayers_sizes,drug_char_dict,drug_concat_heads,drug_dim,drug_dropout,drug_gat_layers,drug_gcn_layers,drug_hlayers_sizes,drug_kernel_sizes,drug_n_embedding,drug_num_attention_heads,drug_num_filters,drug_residual_connection,drug_seq_length,expr_batchnorm,expr_dim,expr_hlayers_sizes,expr_kernel_size,expr_kernel_size1,expr_kernel_size_rest,expr_kernel_sizes,expr_num_filters,expr_pool_size,hidden_activation,hidden_dropout,l2,learn_rate,mut_dim,mut_hlayers_sizes,predictor_hlayers_sizes,keras_pearson,keras_r2_score,keras_spearman,loss,mean_squared_error,root_mean_squared_error
"one-hot encoded cell line names + drug (ECFP4, 1024, dense)",../results/2021-04-08_12-02-14,,,,,1024.0,,,,[1024],,,,,,,,60.0,[16],,,,,,,prelu,0.4,0.0,0.0001,,,[2048],0.5542824268341064,0.1728974878787994,0.4909752607345581,2876.86669921875,2876.86669921875,53.63642883300781
one-hot encoded cell line names + one-hot encoded drugs,../results/2021-04-08_22-27-11,,,,,106.0,,,,[64],,,,,,,,60.0,[16],,,,,,,relu,0.1,0.1,0.001,,,[128],0.0080564869567751,-0.0762210562825203,0.0065891211852431,4375.68017578125,4375.4560546875,66.14723205566406
Baseline (always predicts the mean of the training set),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.21983767431955e-05,,,4376.15966796875,66.15254974365234
"expr (landmark genes (REDO), dense, MinMaxScaler) + drug (ECFP4, Dense)",../results/2021-07-06_12-02-29,,,,,1024.0,,,,"[1024, 512]",,,,,,,,978.0,"[512, 256, 128]",,,,,,,relu,0.1,1E-05,0.0001,,,"[1024, 1024, 1024]",0.7078940868377686,0.44929006695747375,0.6396458745002747,2073.822509765625,2073.653076171875,45.53738021850586
"expr (NCG genes, dense, MinMaxScaler) + drug (ECFP4, Dense)",../results/2021-07-06_12-21-29,,,,,1024.0,,,,[256],,,,,,,,2362.0,[1024],,,,,,,leakyrelu,0.0,0.001,0.0001,,,"[256, 256, 256]",0.6719173192977905,0.4268694519996643,0.5908969640731812,2092.898681640625,2083.66552734375,45.64718627929688
"expr (target genes (all interactions), dense, MinMaxScaler) + drug (ECFP4, Dense)",../results/2021-07-06_12-19-03,,,,,1024.0,,,,[512],,,,,,,,976.0,"[1024, 512, 256]",,,,,,,prelu,0.1,0.1,0.0001,,,"[512, 256]",0.699948251247406,0.4495596289634705,0.6239503026008606,2207.822021484375,1974.6983642578125,44.43758010864258
"expr (targets full (all drug-gene interactions) + NCG genes, dense, MinMaxScaler) + drug (ECFP4, Dense)",../results/2021-07-06_12-38-01,,,,,1024.0,,,,[512],,,,,,,,3037.0,[256],,,,,,,prelu,0.4,0.0001,0.001,,,[512],0.662465512752533,0.4196572899818421,0.5955237150192261,2244.37451171875,2204.98388671875,46.95725631713867
"expr (COSMIC genes, dense, MinMaxScaler) + drug (ECFP4, Dense)",../results/2021-07-06_12-12-35,,,,,1024.0,,,,"[1024, 512, 256]",,,,,,,,713.0,[64],,,,,,,prelu,0.1,0.001,0.0001,,,[2048],0.6974815726280212,0.4583701491355896,0.6230427622795105,1981.4697265625,1965.61181640625,44.33522033691406
"expr (targets (all interactions) + landmark genes, dense, MinMaxScaler) + drug (ECFP4, Dense)",../results/2021-07-06_12-37-08,,,,,1024.0,,,,[1024],,,,,,,,1815.0,"[64, 32]",,,,,,,prelu,0.1,0.0,0.01,,,"[256, 256]",0.667938768863678,0.4192943572998047,0.5874897837638855,2098.8603515625,2098.8603515625,45.81332015991211
"expr (UMAP) + drug (ECFP4, 1024, dense)",../results/2021-07-08_09-48-06,,,,,1024.0,,,,[64],,,,,,,,50.0,"[32, 16]",,,,,,,prelu,0.0,0.001,0.001,,,"[1024, 512]",0.6618035435676575,0.37101367115974426,0.5843226313591003,2325.557373046875,2289.27001953125,47.84631729125977
