"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0050878","BP","GO:0050878","regulation of body fluid levels",91,0.613513432893514,1.55989397811243,4.87356122671145e-06,0.0149082237925103,0.0135998008547495,186,"tags=38%, list=19%, signal=34%","BLK/ADORA2A/GAS6/MET/CCND1/MAPK1/TFPI/GNA11/PLAUR/SH2B3/LYN/PLA2G4A/SRC/JAK2/ATP7B/AXL/DDR1/HIF1A/EDN1/NFE2L2/P2RY2/CD40/GNAQ/NCOA1/TEC/VEGFA/PLAT/SERPINE1/FYN/TLR4/GATA2/RAF1/OPRK1/VDR/PLAU"
"GO:0051338","BP","GO:0051338","regulation of transferase activity",185,0.536647222198063,1.40012506151717,2.27589725864291e-05,0.0249150038412069,0.0227283340558626,209,"tags=34%, list=21%, signal=33%","CXCL10/ADORA2A/GAS6/MET/ERBB3/PLA2G1B/CCND1/MAPK1/GSTP1/CRKL/CXCR4/SH2B3/MAP4K4/LYN/SRC/JAK2/EPHA2/CBLB/EGFR/GPRC5A/AXL/DDR1/EPHA6/GDF15/IRS1/MYC/DKK1/NTF3/EDN1/PRKAA1/ERCC6/CD40/TP73/FGFR3/TRIB2/GNAQ/BDNF/FGF2/CDKN2A/CTNNB1/VEGFA/CDKN1B/AREG/EPHB4/ALK/MAP3K1/FYN/BRAF/CCNE1/TLR4/BMP7/IRAK1/NF1/PPARG/EPHA4/EPHA10/RAF1/ERBB2/MAP3K10/TAOK1/VEGFC/CSK/APC"
"GO:0043549","BP","GO:0043549","regulation of kinase activity",177,0.533612724152345,1.39096394832954,2.44344594715987e-05,0.0249150038412069,0.0227283340558626,225,"tags=36%, list=23%, signal=33%","CXCL10/ADORA2A/GAS6/MET/ERBB3/PLA2G1B/CCND1/MAPK1/GSTP1/CRKL/CXCR4/SH2B3/MAP4K4/LYN/SRC/JAK2/EPHA2/CBLB/EGFR/GPRC5A/AXL/DDR1/EPHA6/GDF15/IRS1/DKK1/NTF3/EDN1/PRKAA1/ERCC6/CD40/TP73/FGFR3/TRIB2/GNAQ/BDNF/FGF2/CDKN2A/VEGFA/CDKN1B/AREG/EPHB4/ALK/MAP3K1/FYN/BRAF/CCNE1/TLR4/BMP7/IRAK1/NF1/EPHA4/EPHA10/RAF1/ERBB2/MAP3K10/TAOK1/VEGFC/CSK/APC/EPHA1/TYRO3/UBE2N"
"GO:0042060","BP","GO:0042060","wound healing",96,0.584055938096891,1.48790633117829,7.50164844571844e-05,0.0389912286386686,0.0355691564567404,186,"tags=36%, list=19%, signal=33%","BLK/ADORA2A/GAS6/ERBB3/MAPK1/TFPI/CXCR4/GNA11/PLAUR/SH2B3/LYN/PLA2G4A/SRC/JAK2/EGFR/AXL/DDR1/HIF1A/SMAD3/EDN1/NFE2L2/CD40/GNAQ/FGF2/TEC/VEGFA/PLAT/SERPINE1/FYN/TLR4/GATA2/NF1/RAF1/ERBB2/PLAU"
"GO:0043405","BP","GO:0043405","regulation of MAP kinase activity",80,0.600540330035927,1.51833661551151,8.29128147995031e-05,0.0389912286386686,0.0355691564567404,207,"tags=42%, list=21%, signal=36%","PLA2G1B/MAPK1/GSTP1/CRKL/CXCR4/SH2B3/LYN/SRC/JAK2/EGFR/GDF15/DKK1/NTF3/EDN1/PRKAA1/ERCC6/CD40/TP73/TRIB2/FGF2/VEGFA/ALK/MAP3K1/BRAF/TLR4/BMP7/IRAK1/NF1/EPHA4/RAF1/ERBB2/MAP3K10/TAOK1/CSK"
"GO:0006935","BP","GO:0006935","chemotaxis",100,0.574422748780215,1.46560573164939,0.000137170466073809,0.0389912286386686,0.0355691564567404,191,"tags=33%, list=20%, signal=30%","CXCL10/CXCL12/TYMP/GAS6/ALCAM/MET/PLA2G1B/MAPK1/GSTP1/CRKL/CXCR4/PLAUR/LYN/SRC/EPHA2/EPHA6/CYP19A1/NTF3/SMAD3/EDN1/BCAR1/BDNF/FGF2/VEGFA/EPHB4/SERPINE1/FYN/BMP7/EPHA4/EPHA10/ERBB2/PLAU/CXCL8"
"GO:0042330","BP","GO:0042330","taxis",100,0.574422748780215,1.46560573164939,0.000137170466073809,0.0389912286386686,0.0355691564567404,191,"tags=33%, list=20%, signal=30%","CXCL10/CXCL12/TYMP/GAS6/ALCAM/MET/PLA2G1B/MAPK1/GSTP1/CRKL/CXCR4/PLAUR/LYN/SRC/EPHA2/EPHA6/CYP19A1/NTF3/SMAD3/EDN1/BCAR1/BDNF/FGF2/VEGFA/EPHB4/SERPINE1/FYN/BMP7/EPHA4/EPHA10/ERBB2/PLAU/CXCL8"
"GO:0008219","BP","GO:0008219","cell death",314,0.492086802497927,1.2964246113499,0.000143972156180359,0.0389912286386686,0.0355691564567404,244,"tags=33%, list=25%, signal=36%","BLK/CXCL10/CXCL12/NQO1/ADORA2A/GAS6/MET/ERBB3/PLA2G1B/MAPK1/GSTP1/CRKL/CXCR4/CTSL/PLAUR/MAP4K4/LYN/SRC/JAK2/EPHA2/EGFR/ETV6/AXL/DDIT3/MYC/DKK1/HIF1A/NTF3/PSMC1/SMAD3/EDN1/PRKAA1/NFE2L2/TGM2/PERP/ACVR1/PKN2/ERCC6/CD40/TP73/BCAR1/CDSN/FGFR3/PYGL/COL18A1/NTSR1/BDNF/IKBKE/BRCA2/DLG5/FGF2/CDKN2A/CTNNB1/DRAM1/NCOA1/VEGFA/CDKN1B/THRB/EMP1/ALK/SERPINE1/PAX8/RRM2B/FYN/BRAF/BCL2L2/TLR4/GATA2/CAMK2D/BMP7/PPP1R13L/IRAK1/NF1/PPARG/AR/RAF1/VDR/FOXO1/FAS/CTH/TRPV1/MAP3K10/AURKA/TAOK1/HP/STAT3/GCLM/APC/BCL2/PML/S100B/SLK/SIK1/PPARD/TYRO3/SOX10/POLB/RARB/DIABLO/MGMT/HGF/F2R/MDM2"
"GO:0019220","BP","GO:0019220","regulation of phosphate metabolic process",265,0.496743181331476,1.30636905884879,0.00015530832071387,0.0389912286386686,0.0355691564567404,227,"tags=32%, list=23%, signal=33%","CXCL10/ADORA2A/GAS6/TLR7/MET/ERBB3/PLA2G1B/CCND1/MAPK1/GSTP1/CRKL/CXCR4/YES1/IDH1/PLAUR/SH2B3/MAP4K4/LYN/SRC/JAK2/EPHA2/CBLB/EGFR/GPRC5A/AXL/DDR1/EPHA6/GDF15/IRS1/MYC/DKK1/HIF1A/NTF3/SMAD3/EDN1/PRKAA1/ACVR1/ERCC6/CD40/TP73/FGFR3/TRIB2/GNAQ/NTSR1/BDNF/FGF2/CDKN2A/CTNNB1/TEC/VEGFA/CDKN1B/AREG/EPHB4/ALK/MAP3K1/FYN/BRAF/CCNE1/TLR4/ROCK2/BMP7/CDA/IRAK1/NF1/FKBP1A/EPHA4/EPHA10/AR/RAF1/ERBB2/FOXO1/FAS/MAP3K10/TAOK1/VEGFC/STAT3/CSK/APC/BCL2/PML/EPHA1/TYRO3/UBE2N/LIF"
"GO:0051174","BP","GO:0051174","regulation of phosphorus metabolic process",265,0.496743181331476,1.30636905884879,0.00015530832071387,0.0389912286386686,0.0355691564567404,227,"tags=32%, list=23%, signal=33%","CXCL10/ADORA2A/GAS6/TLR7/MET/ERBB3/PLA2G1B/CCND1/MAPK1/GSTP1/CRKL/CXCR4/YES1/IDH1/PLAUR/SH2B3/MAP4K4/LYN/SRC/JAK2/EPHA2/CBLB/EGFR/GPRC5A/AXL/DDR1/EPHA6/GDF15/IRS1/MYC/DKK1/HIF1A/NTF3/SMAD3/EDN1/PRKAA1/ACVR1/ERCC6/CD40/TP73/FGFR3/TRIB2/GNAQ/NTSR1/BDNF/FGF2/CDKN2A/CTNNB1/TEC/VEGFA/CDKN1B/AREG/EPHB4/ALK/MAP3K1/FYN/BRAF/CCNE1/TLR4/ROCK2/BMP7/CDA/IRAK1/NF1/FKBP1A/EPHA4/EPHA10/AR/RAF1/ERBB2/FOXO1/FAS/MAP3K10/TAOK1/VEGFC/STAT3/CSK/APC/BCL2/PML/EPHA1/TYRO3/UBE2N/LIF"
