,experiment,y_true,y_pred,difference
16814,A549/ATCC+77213+755,1.0,0.9987811,0.0012189000000000227
29252,UO-31+719627+737754,41.0,41.00475,0.004750000000001364
268,MCF7+608210+747974,12.0,11.987912,0.01208800000000032
6193,HCC-2998+14229+608210,82.0,82.01845,0.01845000000000141
18249,HOP-92+732517+713563,28.0,27.980745000000002,0.01925499999999758
13504,M14+754143+122819,51.0,50.97828,0.02172000000000196
4119,SNB-19+125066+757441,3.0,3.0220928,0.0220927999999998
25916,786-0+77213+79037,33.0,33.02402,0.024020000000000152
7247,HCT-15+256439+127716,66.0,65.97521,0.02478999999999587
15127,UACC-257+49842+737754,27.0,26.966677,0.033322999999999325
10327,K-562+296961+732517,35.0,34.95122,0.04878000000000071
11835,SR+609699+715055,108.0,108.05955,0.059550000000001546
2581,T-47D+85998+279836,33.0,33.08318,0.0831799999999987
12746,MALME-3M+32065+19893,5.0,5.0854974,0.08549740000000039
3584,SF-539+105014+715055,19.0,19.08833,0.08832999999999913
7355,HCT-15+409962+8806,9.0,9.095072,0.09507200000000005
24845,PC-3+733504+71423,9.0,8.901196,0.09880399999999945
11902,SR+712807+169780,49.0,49.102505,0.10250500000000073
4960,SNB-75+740+713563,1.0,0.8926538,0.10734619999999995
9060,SW-620+733504+67574,41.0,41.110565,0.11056500000000113
15736,UACC-62+718781+753082,97.0,97.11101500000001,0.11101500000000897
29642,SF-539+608210+756645,16.0,15.887709,0.1122910000000008
3305,SF-295+34462+749226,1.0,1.1187156,0.11871560000000003
15506,UACC-62+24559+756645,39.0,38.875004,0.124996000000003
4601,SNB-75+109724+732517,2.0,2.1362782000000005,0.13627820000000046
10730,MOLT-4+226080+719627,127.0,126.86061000000001,0.1393899999999917
6451,HCC-2998+718781+141540,26.0,25.85745,0.14254999999999995
23083,OVCAR-8+296961+613327,5.0,5.144357,0.1443570000000003
23534,SK-OV-3+256439+715055,5.0,4.844678,0.15532199999999996
3427,SF-295+718781+713563,35.0,34.843052,0.15694799999999987
16380,A549/ATCC+109724+673596,18.0,17.839993,0.16000700000000023
4721,SNB-75+246131+760766,16.0,15.832535,0.16746499999999997
14054,SK-MEL-28+26980+608210,8.0,8.199788999999999,0.1997889999999991
20389,NCI-H522+105014+141540,2.0,1.7976216,0.20237839999999996
5380,U251+686673+122819,69.0,68.79474,0.20525999999999556
13936,SK-MEL-28+127716+169780,10.0,10.206367,0.2063670000000002
21858,OVCAR-3+754143+756645,4.0,4.214826,0.2148260000000004
4248,SNB-19+296961+14229,25.0,25.223152,0.2231519999999989
2751,SF-268+256439+613327,19.0,19.240442,0.2404420000000016
8072,HT29+762+713563,9.0,8.756121,0.24387899999999973
13091,M14+119875+19893,4.0,4.246414,0.2464139999999997
25113,DU-145+266046+32065,19.0,19.249810999999998,0.24981099999999756
4743,SNB-75+256942+763371,19.0,18.745913,0.2540869999999984
27950,SN12C+119875+713563,45.0,45.259624,0.2596240000000023
18347,HOP-92+82151+169780,9.0,8.729486,0.27051400000000037
2956,SF-268+718781+19893,4.0,3.7290572999999996,0.2709427000000004
21949,OVCAR-4+119875+608210,4.0,3.7125769,0.2874230999999998
6303,HCC-2998+3088+713563,1.0,0.70157564,0.29842436000000006
29855,SK-MEL-28+749226+760766,34.5,34.19433,0.3056699999999992
26333,A498+733504+608210,17.0,16.692123000000002,0.30787699999999774
20226,NCI-H460+718781+169780,6.0,5.690548000000001,0.3094519999999994
3644,SF-539+1390+279836,47.0,46.68416,0.31584000000000145
24758,PC-3+681239+673596,43.0,42.672905,0.3270949999999999
21276,IGROV1+718781+719627,32.0,31.660963,0.33903700000000114
13314,M14+606869+169780,10.0,10.34309,0.3430900000000001
27989,SN12C+138783+761432,45.0,44.649837,0.350163000000002
14663,SK-MEL-5+673596+141540,10.0,10.357367,0.357367
22760,OVCAR-5+719627+713563,21.0,21.363529999999997,0.36352999999999724
437,MCF7+750690+747972,11.0,11.369645,0.3696450000000002
4949,SNB-75+732517+737754,6.0,6.370128,0.37012800000000023
25653,786-0+34462+747974,21.0,20.62736,0.3726400000000005
8940,SW-620+628503+749226,114.0,113.62118500000001,0.3788149999999888
14579,SK-MEL-5+362856+82151,18.0,17.618689,0.3813110000000002
1802,BT-549+49842+760766,57.0,57.38514,0.3851399999999998
23570,SK-OV-3+26980+701852,3.0,3.3947873,0.39478729999999995
25881,786-0+752+755986,5.0,4.60498,0.3950199999999997
112,MCF7+180973+753082,24.0,24.398115,0.39811500000000066
18439,NCI-H226+138783+125973,14.0,14.403034,0.4030339999999999
15958,MDA-MB-435+18509+715055,8.0,7.592258,0.4077419999999998
5509,U251+752+34462,29.0,29.409266,0.4092659999999988
26167,A498+369100+79037,6.0,5.59046,0.4095399999999998
7650,HT29+119875+713563,33.0,33.416317,0.4163169999999994
