entrez	symbol	pubmed_id	type	primary_site	cancer_type	method
25	ABL1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
25	ABL1	14993899	"Known Cancer"	multiple	-	-
25	ABL1	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
25	ABL1	23539594	"Known Cancer"	multiple	-	-
27	ABL2	14993899	"Known Cancer"	multiple	-	-
48	ACO1	24390350	WES	multiple	pan-cancer_adult	MutSig
60	ACTB	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
60	ACTB	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
60	ACTB	28988769	WES	bladder	bladder_cancer	MutSig
71	ACTG1	26451490	WES	breast	breast_cancer	MutSig
90	ACVR1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
90	ACVR1	24705254	WGS-WES	brain	diffuse_intrinsic_pontine_glioma	Recurrence-based
90	ACVR1	24705250	WES	brain	astrocytoma	Recurrence-based
90	ACVR1	14993899	"Known Cancer"	multiple	-	-
90	ACVR1	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
90	ACVR1	24705252	WGS-WES	brain	diffuse_intrinsic_pontine_glioma	Recurrence-based
90	ACVR1	24705251	WGS-WES	brain	paediatric_high-grade_glioma	Recurrence-based
91	ACVR1B	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
91	ACVR1B	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
91	ACVR1B	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
91	ACVR1B	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
91	ACVR1B	20668451	"Gene panel"	breast	breast_cancer	Wood-based
91	ACVR1B	24132290	WES	multiple	pan-cancer_adult	MuSiC
91	ACVR1B	24390350	WES	multiple	pan-cancer_adult	MutSig
91	ACVR1B	23539594	"Known Cancer"	multiple	-	-
91	ACVR1B	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
92	ACVR2A	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
92	ACVR2A	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
92	ACVR2A	22810696	WES	colorectal	colorectal_adenocarcinoma	MutSig
92	ACVR2A	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
92	ACVR2A	14993899	"Known Cancer"	multiple	-	-
92	ACVR2A	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
92	ACVR2A	24132290	WES	multiple	pan-cancer_adult	MuSiC
92	ACVR2A	25822088	WES	hepatobiliary	hepatocellular_carcinoma	MutSig
